year,area,chapter,gender,value
2002,00KA,I,M,14
2002,00KA,I,F,11
2002,00KA,II,M,184
2002,00KA,II,F,167
2002,00KA,III,M,2
2002,00KA,III,F,3
2002,00KA,IV,M,15
2002,00KA,IV,F,23
2002,00KA,V,M,14
2002,00KA,V,F,45
2002,00KA,VI,M,17
2002,00KA,VI,F,18
2002,00KA,VII,M,0
2002,00KA,VII,F,0
2002,00KA,VIII,M,0
2002,00KA,VIII,F,0
2002,00KA,IX,M,291
2002,00KA,IX,F,266
2002,00KA,X,M,95
2002,00KA,X,F,116
2002,00KA,XI,M,38
2002,00KA,XI,F,51
2002,00KA,XII,M,2
2002,00KA,XII,F,9
2002,00KA,XIII,M,0
2002,00KA,XIII,F,7
2002,00KA,XIV,M,16
2002,00KA,XIV,F,21
2002,00KA,XV,F,0
2002,00KA,XVI,M,0
2002,00KA,XVI,F,0
2002,00KA,XVII,M,4
2002,00KA,XVII,F,5
2002,00KA,XVIII,M,7
2002,00KA,XVIII,F,18
2002,00KA,XX,M,40
2002,00KA,XX,F,24
2002,00JA,I,M,7
2002,00JA,I,F,6
2002,00JA,II,M,217
2002,00JA,II,F,155
2002,00JA,III,M,4
2002,00JA,III,F,3
2002,00JA,IV,M,10
2002,00JA,IV,F,16
2002,00JA,V,M,21
2002,00JA,V,F,25
2002,00JA,VI,M,25
2002,00JA,VI,F,35
2002,00JA,VII,M,0
2002,00JA,VII,F,0
2002,00JA,VIII,M,0
2002,00JA,VIII,F,0
2002,00JA,IX,M,282
2002,00JA,IX,F,284
2002,00JA,X,M,95
2002,00JA,X,F,113
2002,00JA,XI,M,32
2002,00JA,XI,F,39
2002,00JA,XII,M,0
2002,00JA,XII,F,5
2002,00JA,XIII,M,4
2002,00JA,XIII,F,7
2002,00JA,XIV,M,12
2002,00JA,XIV,F,11
2002,00JA,XV,F,0
2002,00JA,XVI,M,0
2002,00JA,XVI,F,0
2002,00JA,XVII,M,2
2002,00JA,XVII,F,1
2002,00JA,XVIII,M,8
2002,00JA,XVIII,F,25
2002,00JA,XX,M,34
2002,00JA,XX,F,29
2002,00KF,I,M,5
2002,00KF,I,F,4
2002,00KF,II,M,233
2002,00KF,II,F,269
2002,00KF,III,M,0
2002,00KF,III,F,1
2002,00KF,IV,M,9
2002,00KF,IV,F,21
2002,00KF,V,M,22
2002,00KF,V,F,41
2002,00KF,VI,M,31
2002,00KF,VI,F,43
2002,00KF,VII,M,0
2002,00KF,VII,F,0
2002,00KF,VIII,M,0
2002,00KF,VIII,F,0
2002,00KF,IX,M,360
2002,00KF,IX,F,454
2002,00KF,X,M,128
2002,00KF,X,F,181
2002,00KF,XI,M,42
2002,00KF,XI,F,49
2002,00KF,XII,M,2
2002,00KF,XII,F,6
2002,00KF,XIII,M,9
2002,00KF,XIII,F,24
2002,00KF,XIV,M,27
2002,00KF,XIV,F,34
2002,00KF,XV,F,0
2002,00KF,XVI,M,1
2002,00KF,XVI,F,0
2002,00KF,XVII,M,6
2002,00KF,XVII,F,1
2002,00KF,XVIII,M,14
2002,00KF,XVIII,F,36
2002,00KF,XX,M,35
2002,00KF,XX,F,22
2002,00KG,I,M,8
2002,00KG,I,F,5
2002,00KG,II,M,194
2002,00KG,II,F,175
2002,00KG,III,M,0
2002,00KG,III,F,1
2002,00KG,IV,M,10
2002,00KG,IV,F,13
2002,00KG,V,M,12
2002,00KG,V,F,23
2002,00KG,VI,M,12
2002,00KG,VI,F,8
2002,00KG,VII,M,0
2002,00KG,VII,F,0
2002,00KG,VIII,M,0
2002,00KG,VIII,F,0
2002,00KG,IX,M,239
2002,00KG,IX,F,244
2002,00KG,X,M,70
2002,00KG,X,F,81
2002,00KG,XI,M,28
2002,00KG,XI,F,21
2002,00KG,XII,M,1
2002,00KG,XII,F,7
2002,00KG,XIII,M,1
2002,00KG,XIII,F,3
2002,00KG,XIV,M,9
2002,00KG,XIV,F,18
2002,00KG,XV,F,0
2002,00KG,XVI,M,0
2002,00KG,XVI,F,0
2002,00KG,XVII,M,1
2002,00KG,XVII,F,1
2002,00KG,XVIII,M,4
2002,00KG,XVIII,F,14
2002,00KG,XX,M,21
2002,00KG,XX,F,8
2002,00KB,I,M,8
2002,00KB,I,F,4
2002,00KB,II,M,194
2002,00KB,II,F,163
2002,00KB,III,M,2
2002,00KB,III,F,2
2002,00KB,IV,M,13
2002,00KB,IV,F,16
2002,00KB,V,M,15
2002,00KB,V,F,39
2002,00KB,VI,M,12
2002,00KB,VI,F,11
2002,00KB,VII,M,0
2002,00KB,VII,F,0
2002,00KB,VIII,M,0
2002,00KB,VIII,F,0
2002,00KB,IX,M,272
2002,00KB,IX,F,304
2002,00KB,X,M,79
2002,00KB,X,F,77
2002,00KB,XI,M,25
2002,00KB,XI,F,22
2002,00KB,XII,M,1
2002,00KB,XII,F,3
2002,00KB,XIII,M,6
2002,00KB,XIII,F,7
2002,00KB,XIV,M,10
2002,00KB,XIV,F,8
2002,00KB,XV,F,0
2002,00KB,XVI,M,0
2002,00KB,XVI,F,0
2002,00KB,XVII,M,3
2002,00KB,XVII,F,1
2002,00KB,XVIII,M,0
2002,00KB,XVIII,F,16
2002,00KB,XX,M,40
2002,00KB,XX,F,24
2002,00KC,I,M,2
2002,00KC,I,F,4
2002,00KC,II,M,145
2002,00KC,II,F,117
2002,00KC,III,M,1
2002,00KC,III,F,1
2002,00KC,IV,M,7
2002,00KC,IV,F,8
2002,00KC,V,M,6
2002,00KC,V,F,14
2002,00KC,VI,M,14
2002,00KC,VI,F,10
2002,00KC,VII,M,0
2002,00KC,VII,F,0
2002,00KC,VIII,M,0
2002,00KC,VIII,F,0
2002,00KC,IX,M,166
2002,00KC,IX,F,202
2002,00KC,X,M,57
2002,00KC,X,F,58
2002,00KC,XI,M,22
2002,00KC,XI,F,22
2002,00KC,XII,M,2
2002,00KC,XII,F,1
2002,00KC,XIII,M,2
2002,00KC,XIII,F,9
2002,00KC,XIV,M,10
2002,00KC,XIV,F,10
2002,00KC,XV,F,0
2002,00KC,XVI,M,0
2002,00KC,XVI,F,0
2002,00KC,XVII,M,2
2002,00KC,XVII,F,2
2002,00KC,XVIII,M,2
2002,00KC,XVIII,F,7
2002,00KC,XX,M,23
2002,00KC,XX,F,15
2002,00KC,I,M,6
2002,00KC,I,F,9
2002,00KC,II,M,155
2002,00KC,II,F,134
2002,00KC,III,M,1
2002,00KC,III,F,0
2002,00KC,IV,M,5
2002,00KC,IV,F,7
2002,00KC,V,M,9
2002,00KC,V,F,20
2002,00KC,VI,M,7
2002,00KC,VI,F,6
2002,00KC,VII,M,0
2002,00KC,VII,F,0
2002,00KC,VIII,M,0
2002,00KC,VIII,F,0
2002,00KC,IX,M,170
2002,00KC,IX,F,190
2002,00KC,X,M,66
2002,00KC,X,F,62
2002,00KC,XI,M,21
2002,00KC,XI,F,28
2002,00KC,XII,M,0
2002,00KC,XII,F,2
2002,00KC,XIII,M,4
2002,00KC,XIII,F,2
2002,00KC,XIV,M,14
2002,00KC,XIV,F,12
2002,00KC,XV,F,1
2002,00KC,XVI,M,0
2002,00KC,XVI,F,0
2002,00KC,XVII,M,1
2002,00KC,XVII,F,2
2002,00KC,XVIII,M,3
2002,00KC,XVIII,F,8
2002,00KC,XX,M,20
2002,00KC,XX,F,17
2002,12UB,I,M,2
2002,12UB,I,F,8
2002,12UB,II,M,121
2002,12UB,II,F,101
2002,12UB,III,M,1
2002,12UB,III,F,3
2002,12UB,IV,M,5
2002,12UB,IV,F,8
2002,12UB,V,M,16
2002,12UB,V,F,16
2002,12UB,VI,M,12
2002,12UB,VI,F,23
2002,12UB,VII,M,0
2002,12UB,VII,F,0
2002,12UB,VIII,M,0
2002,12UB,VIII,F,0
2002,12UB,IX,M,157
2002,12UB,IX,F,212
2002,12UB,X,M,45
2002,12UB,X,F,47
2002,12UB,XI,M,15
2002,12UB,XI,F,24
2002,12UB,XII,M,1
2002,12UB,XII,F,5
2002,12UB,XIII,M,1
2002,12UB,XIII,F,3
2002,12UB,XIV,M,5
2002,12UB,XIV,F,7
2002,12UB,XV,F,0
2002,12UB,XVI,M,1
2002,12UB,XVI,F,0
2002,12UB,XVII,M,0
2002,12UB,XVII,F,2
2002,12UB,XVIII,M,2
2002,12UB,XVIII,F,1
2002,12UB,XX,M,35
2002,12UB,XX,F,22
2002,12UC,I,M,4
2002,12UC,I,F,5
2002,12UC,II,M,89
2002,12UC,II,F,80
2002,12UC,III,M,0
2002,12UC,III,F,0
2002,12UC,IV,M,8
2002,12UC,IV,F,10
2002,12UC,V,M,4
2002,12UC,V,F,14
2002,12UC,VI,M,17
2002,12UC,VI,F,12
2002,12UC,VII,M,0
2002,12UC,VII,F,0
2002,12UC,VIII,M,0
2002,12UC,VIII,F,0
2002,12UC,IX,M,122
2002,12UC,IX,F,149
2002,12UC,X,M,38
2002,12UC,X,F,45
2002,12UC,XI,M,10
2002,12UC,XI,F,18
2002,12UC,XII,M,0
2002,12UC,XII,F,0
2002,12UC,XIII,M,1
2002,12UC,XIII,F,1
2002,12UC,XIV,M,11
2002,12UC,XIV,F,7
2002,12UC,XV,F,0
2002,12UC,XVI,M,0
2002,12UC,XVI,F,0
2002,12UC,XVII,M,2
2002,12UC,XVII,F,0
2002,12UC,XVIII,M,0
2002,12UC,XVIII,F,3
2002,12UC,XX,M,20
2002,12UC,XX,F,18
2002,12UD,I,M,4
2002,12UD,I,F,7
2002,12UD,II,M,150
2002,12UD,II,F,130
2002,12UD,III,M,2
2002,12UD,III,F,1
2002,12UD,IV,M,10
2002,12UD,IV,F,7
2002,12UD,V,M,10
2002,12UD,V,F,15
2002,12UD,VI,M,14
2002,12UD,VI,F,16
2002,12UD,VII,M,0
2002,12UD,VII,F,0
2002,12UD,VIII,M,0
2002,12UD,VIII,F,0
2002,12UD,IX,M,203
2002,12UD,IX,F,214
2002,12UD,X,M,47
2002,12UD,X,F,64
2002,12UD,XI,M,9
2002,12UD,XI,F,22
2002,12UD,XII,M,1
2002,12UD,XII,F,1
2002,12UD,XIII,M,3
2002,12UD,XIII,F,1
2002,12UD,XIV,M,5
2002,12UD,XIV,F,10
2002,12UD,XV,F,0
2002,12UD,XVI,M,0
2002,12UD,XVI,F,0
2002,12UD,XVII,M,1
2002,12UD,XVII,F,1
2002,12UD,XVIII,M,0
2002,12UD,XVIII,F,3
2002,12UD,XX,M,22
2002,12UD,XX,F,12
2002,12UE,I,M,4
2002,12UE,I,F,12
2002,12UE,II,M,189
2002,12UE,II,F,165
2002,12UE,III,M,1
2002,12UE,III,F,2
2002,12UE,IV,M,7
2002,12UE,IV,F,10
2002,12UE,V,M,11
